"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30495,560547328,30495,698870991,30495,560423985,30495,698913735
2,30495,560522953,30495,560523581,30495,560423985,30495,698913735
3,30495,576032633,30495,576048627,30495,560423985,30495,698913735
4,30495,560546140,30495,560546769,30495,560423985,30495,698913735
5,30495,560550401,30495,560550960,30495,560423985,30495,698913735
6,30495,560521137,30495,560521695,30495,560423985,30495,698913735
