"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30485,220773699,30485,228187391,30485,220589802,30485,273405409
2,30485,220766715,30485,255137490,30485,220589802,30485,273405409
3,30485,220766156,30485,273372723,30485,220589802,30485,273405409
4,30485,220741781,30485,255458908,30485,220589802,30485,273405409
5,30485,255461981,30485,263110904,30485,220589802,30485,273405409
