"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30468,760399283,30468,828685598,30468,760326506,30468,830250779
2,30468,760401797,30468,830217883,30468,760326506,30468,830250779
