"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30492,716016649,30492,742542592,30492,708340138,30492,744718480
2,30492,740833325,30492,740833954,30492,708340138,30492,744718480
3,30492,708613015,30492,743264000,30492,708340138,30492,744718480
4,30492,708603027,30492,740828017,30492,708340138,30492,744718480
5,30492,708588640,30492,744704372,30492,708340138,30492,744718480
6,30492,708613643,30492,742029805,30492,708340138,30492,744718480
