"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30487,983178678,30488,125532979,30487,983110720,30488,125567062
2,30487,983180005,30487,983180633,30487,983110720,30488,125567062
3,30487,983181890,30487,983183008,30487,983110720,30488,125567062
4,30487,983231968,30487,983233155,30487,983110720,30488,125567062
5,30487,983182449,30487,983183636,30487,983110720,30488,125567062
