"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30479,91436821,30479,105534695,30479,91356152,30479,145871528
2,30479,91445272,30479,144416279,30479,91356152,30479,145871528
3,30479,91421595,30479,145837165,30479,91356152,30479,145871528
4,30479,96041149,30479,114286858,30479,91356152,30479,145871528
