"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30487,355792572,30487,388840033,30487,355758977,30487,390754359
2,30487,355791384,30487,390709031,30487,355758977,30487,390754359
3,30487,355798089,30487,389710067,30487,355758977,30487,390754359
4,30487,355790826,30487,390278658,30487,355758977,30487,390754359
5,30487,388848274,30487,388848903,30487,355758977,30487,390754359
