"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30491,1653426,30491,6562409,30490,996156784,30491,58784980
2,30491,12013374,30491,46401122,30490,996156784,30491,58784980
3,30490,996334394,30491,35336458,30490,996156784,30491,58784980
4,30490,996311905,30491,58750407,30490,996156784,30491,58784980
5,30491,28032210,30491,51973823,30490,996156784,30491,58784980
6,30490,996325804,30491,1650562,30490,996156784,30491,58784980
