"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30490,852020090,30490,857431314,30490,840689045,30490,895375885
2,30490,872710582,30490,895339287,30490,840689045,30490,895375885
3,30490,840798000,30490,887645874,30490,840689045,30490,895375885
4,30490,848032824,30490,890042326,30490,840689045,30490,895375885
5,30490,846827893,30490,872707300,30490,840689045,30490,895375885
6,30490,840779631,30490,846824820,30490,840689045,30490,895375885
