"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30491,308996949,30491,313915710,30491,308816405,30491,349824289
2,30491,313919063,30491,336319940,30491,308816405,30491,349824289
3,30491,308989685,30491,347989723,30491,308816405,30491,349824289
4,30491,308998067,30491,349800193,30491,308816405,30491,349824289
5,30491,308939608,30491,338275893,30491,308816405,30491,349824289
6,30491,320016145,30491,325319671,30491,308816405,30491,349824289
