"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30492,961260130,30492,995380169,30492,961138742,30492,998421481
2,30492,995385826,30492,995386455,30492,961138742,30492,998421481
3,30492,961252866,30492,995220717,30492,961138742,30492,998421481
4,30492,961261247,30492,994654989,30492,961138742,30492,998421481
5,30492,961232961,30492,994285869,30492,961138742,30492,998421481
6,30492,974331452,30492,998391169,30492,961138742,30492,998421481
