"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30490,188033611,30490,192972347,30490,154712016,30490,201255864
2,30490,178793874,30490,201216472,30490,154712016,30490,201255864
3,30490,154849398,30490,193872274,30490,154712016,30490,201255864
4,30490,154850445,30490,194835479,30490,154712016,30490,201255864
5,30490,154825092,30490,178791849,30490,154712016,30490,201255864
6,30490,154825651,30490,160161654,30490,154712016,30490,201255864
