"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30492,250780998,30492,284158188,30492,250685872,30492,286996746
2,30492,252030559,30492,286960218,30492,250685872,30492,286996746
3,30492,284160632,30492,284161331,30492,250685872,30492,286996746
4,30492,250782255,30492,285202550,30492,250685872,30492,286996746
5,30492,250800414,30492,283258051,30492,250685872,30492,286996746
6,30492,250783163,30492,284162658,30492,250685872,30492,286996746
