"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30492,126524898,30492,161510920,30492,126392685,30492,161570217
2,30492,126523710,30492,161065601,30492,126392685,30492,161570217
3,30492,159656519,30492,159657148,30492,126392685,30492,161570217
4,30492,126576651,30492,159653446,30492,126392685,30492,161570217
5,30492,126525456,30492,160570135,30492,126392685,30492,161570217
6,30492,161514692,30492,161515390,30492,126392685,30492,161570217
