"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30491,593660782,30491,598585690,30491,593554760,30491,633708674
2,30491,598588553,30491,620968757,30491,593554760,30491,633708674
3,30491,593661341,30491,632700631,30491,593554760,30491,633708674
4,30491,593681595,30491,633677594,30491,593554760,30491,633708674
5,30491,593659106,30491,623779657,30491,593554760,30491,633708674
6,30491,604819315,30491,610135483,30491,593554760,30491,633708674
