"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30482,55655661,30482,206027936,30482,55513601,30482,206078083
2,30482,55661388,30482,55661947,30482,55513601,30482,206078083
3,30482,55658385,30482,55658944,30482,55513601,30482,206078083
4,30482,55671725,30482,55672354,30482,55513601,30482,206078083
