"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30484,765258164,30484,772646154,30484,765094242,30484,822787892
2,30484,765235395,30484,799593809,30484,765094242,30484,822787892
3,30484,765250691,30484,817860540,30484,765094242,30484,822787892
4,30484,788027812,30484,822755206,30484,765094242,30484,822787892
5,30484,765251249,30484,772917703,30484,765094242,30484,822787892
