"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30484,626619788,30484,634042490,30484,626600023,30484,680619583
2,30484,634283937,30484,668616719,30484,626600023,30484,680619583
3,30484,628021327,30484,680584382,30484,626600023,30484,680619583
4,30484,626620347,30484,661324693,30484,626600023,30484,680619583
5,30484,626618391,30484,634279537,30484,626600023,30484,680619583
