"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,30491,727969033,30491,762605352,30491,727906523,30491,765551538
2,30491,738355731,30491,761568463,30491,727906523,30491,765551538
3,30491,727970779,30491,762780937,30491,727906523,30491,765551538
4,30491,727968474,30491,760697661,30491,727906523,30491,765551538
5,30491,727967287,30491,761713736,30491,727906523,30491,765551538
6,30491,727971338,30491,765522413,30491,727906523,30491,765551538
