"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,2,0,5,1,30468,621863087,30468,690124957,30468,621769218,30468,691651306
256,500,375,-2,"0.6",-1,1,2,0,5,2,30468,621875449,30468,691616175,30468,621769218,30468,691651306
256,500,375,-2,"0.6",-1,1,2,0,6,1,30468,760399283,30468,828685598,30468,760326506,30468,830250779
256,500,375,-2,"0.6",-1,1,2,0,6,2,30468,760401797,30468,830217883,30468,760326506,30468,830250779
256,500,375,-2,"0.6",-1,1,2,0,7,1,30468,895802462,30468,963564605,30468,895747426,30468,965048489
256,500,375,-2,"0.6",-1,1,2,0,7,2,30468,895799668,30468,965018247,30468,895747426,30468,965048489
256,500,375,-2,"0.6",-1,1,2,0,8,1,30469,43187832,30469,111402698,30469,43128675,30469,112974234
256,500,375,-2,"0.6",-1,1,2,0,8,2,30469,43169813,30469,112941548,30469,43128675,30469,112974234
256,500,375,-2,"0.6",-1,1,2,0,9,1,30469,192704530,30469,260452705,30469,192560724,30469,261944342
256,500,375,-2,"0.6",-1,1,2,0,9,2,30469,192709070,30469,261909630,30469,192560724,30469,261944342
256,500,375,-2,"0.6",-1,1,2,0,10,1,30469,350714414,30469,418660873,30469,350625923,30469,420163894
256,500,375,-2,"0.6",-1,1,2,0,10,2,30469,350690388,30469,420129601,30469,350625923,30469,420163894
256,500,375,-2,"0.6",-1,1,2,1,1,1,30469,502660880,30469,572017329,30469,502583424,30469,572050574
256,500,375,-2,"0.6",-1,1,2,1,1,2,30469,502639019,30469,571018574,30469,502583424,30469,572050574
256,500,375,-2,"0.6",-1,1,2,1,2,1,30469,645748043,30469,713847878,30469,645664372,30469,714716585
256,500,375,-2,"0.6",-1,1,2,1,2,2,30469,645770323,30469,714708064,30469,645664372,30469,714716585
256,500,375,-2,"0.6",-1,1,2,1,3,1,30469,775897494,30469,844472470,30469,775888345,30469,844507741
256,500,375,-2,"0.6",-1,1,2,1,3,2,30469,775899799,30469,843579598,30469,775888345,30469,844507741
256,500,375,-2,"0.6",-1,1,2,1,4,1,30469,941401739,30470,14419496,30469,941282726,30470,14465034
256,500,375,-2,"0.6",-1,1,2,1,4,2,30469,941407047,30470,13551558,30469,941282726,30470,14465034
256,500,375,-2,"0.6",-1,1,2,1,5,1,30470,91793709,30470,161178305,30470,91737556,30470,161211620
256,500,375,-2,"0.6",-1,1,2,1,5,2,30470,91779741,30470,160165303,30470,91737556,30470,161211620
256,500,375,-2,"0.6",-1,1,2,1,6,1,30470,234032001,30470,302678776,30470,233985696,30470,302711602
256,500,375,-2,"0.6",-1,1,2,1,6,2,30470,234057774,30470,301726467,30470,233985696,30470,302711602
256,500,375,-2,"0.6",-1,1,2,1,7,1,30470,374473374,30470,442846014,30470,374460872,30470,443804749
256,500,375,-2,"0.6",-1,1,2,1,7,2,30470,374469881,30470,443771713,30470,374460872,30470,443804749
256,500,375,-2,"0.6",-1,1,2,1,8,1,30470,528898776,30470,598328700,30470,528844997,30470,598358104
256,500,375,-2,"0.6",-1,1,2,1,8,2,30470,528911557,30470,597459434,30470,528844997,30470,598358104
256,500,375,-2,"0.6",-1,1,2,1,9,1,30470,664817187,30470,733399496,30470,664725902,30470,733429459
256,500,375,-2,"0.6",-1,1,2,1,9,2,30470,664844495,30470,732488953,30470,664725902,30470,733429459
256,500,375,-2,"0.6",-1,1,2,1,10,1,30470,809725646,30470,878468524,30470,809653568,30470,878505751
256,500,375,-2,"0.6",-1,1,2,1,10,2,30470,809705042,30470,877446163,30470,809653568,30470,878505751
256,500,375,-2,"0.6",-1,1,2,2,1,1,30470,952910171,30471,89748553,30470,952839699,30471,89781240
256,500,375,-2,"0.6",-1,1,2,2,1,2,30470,952912336,30470,952913034,30470,952839699,30471,89781240
256,500,375,-2,"0.6",-1,1,2,2,2,1,30471,171473145,30471,310910594,30471,171448142,30471,310942164
256,500,375,-2,"0.6",-1,1,2,2,2,2,30471,171481526,30471,171482155,30471,171448142,30471,310942164
256,500,375,-2,"0.6",-1,1,2,2,3,1,30471,383425552,30471,521641937,30471,383315550,30471,521655696
256,500,375,-2,"0.6",-1,1,2,2,3,2,30471,383427857,30471,383428556,30471,383315550,30471,521655696
256,500,375,-2,"0.6",-1,1,2,2,4,1,30471,606904146,30471,745091894,30471,606882844,30471,745126327
256,500,375,-2,"0.6",-1,1,2,2,4,2,30471,606897930,30471,606899047,30471,606882844,30471,745126327
256,500,375,-2,"0.6",-1,1,2,2,5,1,30471,827231424,30471,967500074,30471,827122469,30471,967537650
256,500,375,-2,"0.6",-1,1,2,2,5,2,30471,827218433,30471,827219062,30471,827122469,30471,967537650
256,500,375,-2,"0.6",-1,1,2,2,6,1,30472,111592558,30472,269341438,30472,111464186,30472,269383484
256,500,375,-2,"0.6",-1,1,2,2,6,2,30472,111536334,30472,111537242,30472,111464186,30472,269383484
256,500,375,-2,"0.6",-1,1,2,2,7,1,30472,377996364,30472,529827030,30472,377865199,30472,529863558
256,500,375,-2,"0.6",-1,1,2,2,7,2,30472,378011799,30472,378012358,30472,377865199,30472,529863558
256,500,375,-2,"0.6",-1,1,2,2,8,1,30472,618855731,30472,758253719,30472,618832613,30472,758285428
256,500,375,-2,"0.6",-1,1,2,2,8,2,30472,618849305,30472,618851121,30472,618832613,30472,758285428
256,500,375,-2,"0.6",-1,1,2,2,9,1,30472,853108441,30472,992490086,30472,853079317,30472,992539116
256,500,375,-2,"0.6",-1,1,2,2,9,2,30472,853140779,30472,853141896,30472,853079317,30472,992539116
256,500,375,-2,"0.6",-1,1,2,2,10,1,30473,144747073,30473,313362613,30473,144671643,30473,313399699
256,500,375,-2,"0.6",-1,1,2,2,10,2,30473,144764604,30473,144765233,30473,144671643,30473,313399699
256,500,375,-2,"0.6",-1,1,3,0,1,1,30473,387651862,30473,415639478,30473,387589422,30473,467732909
256,500,375,-2,"0.6",-1,1,3,0,1,2,30473,387648719,30473,467699454,30473,387589422,30473,467732909
256,500,375,-2,"0.6",-1,1,3,0,1,3,30473,387646973,30473,416121465,30473,387589422,30473,467732909
256,500,375,-2,"0.6",-1,1,3,0,2,1,30473,562644693,30473,595196339,30473,562622763,30473,649059521
256,500,375,-2,"0.6",-1,1,3,0,2,2,30473,562647766,30473,649019501,30473,562622763,30473,649059521
