"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,4,0,3,3,32439,747703032,32439,803298591,32439,747675654,32439,803337632
256,500,375,-2,"0.6",-1,1,4,0,3,4,32439,762132247,32439,777660420,32439,747675654,32439,803337632
256,500,375,-2,"0.6",-1,1,4,0,4,1,32439,877317747,32439,891263728,32439,877118629,32439,931537426
256,500,375,-2,"0.6",-1,1,4,0,4,2,32439,877333811,32439,930073056,32439,877118629,32439,931537426
256,500,375,-2,"0.6",-1,1,4,0,4,3,32439,877347779,32439,931505857,32439,877118629,32439,931537426
256,500,375,-2,"0.6",-1,1,4,0,4,4,32439,877343100,32439,892828740,32439,877118629,32439,931537426
256,500,375,-2,"0.6",-1,1,4,0,5,1,32440,11680508,32440,25627396,32440,11655993,32440,65939297
256,500,375,-2,"0.6",-1,1,4,0,5,2,32440,11682254,32440,64426527,32440,11655993,32440,65939297
256,500,375,-2,"0.6",-1,1,4,0,5,3,32440,11681625,32440,65900186,32440,11655993,32440,65939297
256,500,375,-2,"0.6",-1,1,4,0,5,4,32440,25630818,32440,41090407,32440,11655993,32440,65939297
256,500,375,-2,"0.6",-1,1,4,0,6,1,32440,139335397,32440,153269644,32440,139252215,32440,198155824
256,500,375,-2,"0.6",-1,1,4,0,6,2,32440,139358724,32440,192062559,32440,139252215,32440,198155824
256,500,375,-2,"0.6",-1,1,4,0,6,3,32440,139350552,32440,198121741,32440,139252215,32440,198155824
256,500,375,-2,"0.6",-1,1,4,0,6,4,32440,144026870,32440,159485271,32440,139252215,32440,198155824
256,500,375,-2,"0.6",-1,1,4,0,7,1,32440,273148713,32440,287089036,32440,272970756,32440,328723528
256,500,375,-2,"0.6",-1,1,4,0,7,2,32440,273137189,32440,325868821,32440,272970756,32440,328723528
256,500,375,-2,"0.6",-1,1,4,0,7,3,32440,273136351,32440,328687280,32440,272970756,32440,328723528
256,500,375,-2,"0.6",-1,1,4,0,7,4,32440,273107576,32440,288611095,32440,272970756,32440,328723528
256,500,375,-2,"0.6",-1,1,4,0,8,1,32440,406284774,32440,420293263,32440,406201104,32440,460434401
256,500,375,-2,"0.6",-1,1,4,0,8,2,32440,406285403,32440,459029467,32440,406201104,32440,460434401
256,500,375,-2,"0.6",-1,1,4,0,8,3,32440,406284216,32440,460402484,32440,406201104,32440,460434401
256,500,375,-2,"0.6",-1,1,4,0,8,4,32440,406313479,32440,421794090,32440,406201104,32440,460434401
256,500,375,-2,"0.6",-1,1,4,0,9,1,32440,534179849,32440,548110324,32440,534096597,32440,588397641
256,500,375,-2,"0.6",-1,1,4,0,9,2,32440,534192490,32440,586912249,32440,534096597,32440,588397641
256,500,375,-2,"0.6",-1,1,4,0,9,3,32440,534200871,32440,588340650,32440,534096597,32440,588397641
256,500,375,-2,"0.6",-1,1,4,0,9,4,32440,540142859,32440,555656644,32440,534096597,32440,588397641
256,500,375,-2,"0.6",-1,1,4,0,10,1,32440,658399297,32440,672318458,32440,658235867,32440,712636645
256,500,375,-2,"0.6",-1,1,4,0,10,2,32440,658386935,32440,712605844,32440,658235867,32440,712636645
256,500,375,-2,"0.6",-1,1,4,0,10,3,32440,658344192,32440,712533069,32440,658235867,32440,712636645
256,500,375,-2,"0.6",-1,1,4,0,10,4,32440,658350477,32440,673843241,32440,658235867,32440,712636645
256,500,375,-2,"0.6",-1,1,4,1,1,1,32440,790279256,32440,826710406,32440,790160874,32440,826731218
256,500,375,-2,"0.6",-1,1,4,1,1,2,32440,790282469,32440,823296616,32440,790160874,32440,826731218
256,500,375,-2,"0.6",-1,1,4,1,1,3,32440,790310615,32440,823063903,32440,790160874,32440,826731218
256,500,375,-2,"0.6",-1,1,4,1,1,4,32440,790279815,32440,825580787,32440,790160874,32440,826731218
256,500,375,-2,"0.6",-1,1,4,1,2,1,32440,899477162,32440,943433889,32440,899423593,32440,946643113
256,500,375,-2,"0.6",-1,1,4,1,2,2,32440,899478489,32440,944508053,32440,899423593,32440,946643113
256,500,375,-2,"0.6",-1,1,4,1,2,3,32440,899477720,32440,946633544,32440,899423593,32440,946643113
256,500,375,-2,"0.6",-1,1,4,1,2,4,32440,943438009,32440,943438638,32440,899423593,32440,946643113
256,500,375,-2,"0.6",-1,1,4,1,3,1,32441,19528739,32441,55929997,32441,19390592,32441,55950390
256,500,375,-2,"0.6",-1,1,4,1,3,2,32441,19514561,32441,53428897,32441,19390592,32441,55950390
256,500,375,-2,"0.6",-1,1,4,1,3,3,32441,19515120,32441,52563140,32441,19390592,32441,55950390
256,500,375,-2,"0.6",-1,1,4,1,3,4,32441,19532161,32441,52275952,32441,19390592,32441,55950390
256,500,375,-2,"0.6",-1,1,4,1,4,1,32441,130384476,32441,169759871,32441,130338241,32441,172854135
256,500,375,-2,"0.6",-1,1,4,1,4,2,32441,130385105,32441,171306025,32441,130338241,32441,172854135
256,500,375,-2,"0.6",-1,1,4,1,4,3,32441,130416045,32441,172830528,32441,130338241,32441,172854135
256,500,375,-2,"0.6",-1,1,4,1,4,4,32441,156030958,32441,169440485,32441,130338241,32441,172854135
256,500,375,-2,"0.6",-1,1,4,1,5,1,32441,246691983,32441,291718544,32441,246664884,32441,293892994
256,500,375,-2,"0.6",-1,1,4,1,5,2,32441,246693379,32441,293858632,32441,246664884,32441,293892994
256,500,375,-2,"0.6",-1,1,4,1,5,3,32441,246692541,32441,290691243,32441,246664884,32441,293892994
256,500,375,-2,"0.6",-1,1,4,1,5,4,32441,291722525,32441,291723154,32441,246664884,32441,293892994
256,500,375,-2,"0.6",-1,1,4,1,6,1,32441,372917632,32441,406812063,32441,372796456,32441,409369385
256,500,375,-2,"0.6",-1,1,4,1,6,2,32441,372947175,32441,405673435,32441,372796456,32441,409369385
256,500,375,-2,"0.6",-1,1,4,1,6,3,32441,372933276,32441,405938134,32441,372796456,32441,409369385
256,500,375,-2,"0.6",-1,1,4,1,6,4,32441,372942146,32441,409338165,32441,372796456,32441,409369385
256,500,375,-2,"0.6",-1,1,4,1,7,1,32441,484559925,32441,521490513,32441,484425969,32441,524918550
256,500,375,-2,"0.6",-1,1,4,1,7,2,32441,484585697,32441,524909960,32441,484425969,32441,524918550
256,500,375,-2,"0.6",-1,1,4,1,7,3,32441,500033273,32441,522282727,32441,484425969,32441,524918550
256,500,375,-2,"0.6",-1,1,4,1,7,4,32441,484576059,32441,521292163,32441,484425969,32441,524918550
256,500,375,-2,"0.6",-1,1,4,1,8,1,32441,601238850,32441,635100455,32441,601111179,32441,637714000
256,500,375,-2,"0.6",-1,1,4,1,8,2,32441,601255542,32441,637681942,32441,601111179,32441,637714000
