"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29723,91064234,29723,98442934,29723,90990410,29723,167674773
2,29723,91063187,29723,125363625,29723,90990410,29723,167674773
3,29723,91078762,29723,143519793,29723,90990410,29723,167674773
4,29723,125367956,29723,160021381,29723,90990410,29723,167674773
5,29723,160035210,29723,167665484,29723,90990410,29723,167674773
