"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29731,602763748,29731,745422263,29731,602706337,29731,745460816
2,29731,602768078,29731,602768637,29731,602706337,29731,745460816
3,29731,602776599,29731,602777227,29731,602706337,29731,745460816
4,29731,602764865,29731,602765494,29731,602706337,29731,745460816
5,29731,612050068,29731,612050697,29731,602706337,29731,745460816
6,29731,624025971,29731,624026600,29731,602706337,29731,745460816
