"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29726,462785871,29726,599332848,29726,462705273,29726,599364766
2,29726,462790341,29726,462790970,29726,462705273,29726,599364766
3,29726,462787617,29726,462788805,29726,462705273,29726,599364766
4,29726,462793345,29726,462794881,29726,462705273,29726,599364766
5,29726,462787059,29726,462788246,29726,462705273,29726,599364766
