"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29732,573500705,29732,711435113,29732,573389306,29732,711458580
2,29732,580037378,29732,580038007,29732,573389306,29732,711458580
3,29732,573533671,29732,573534230,29732,573389306,29732,711458580
4,29732,573526617,29732,573527176,29732,573389306,29732,711458580
5,29732,596031347,29732,596033093,29732,573389306,29732,711458580
6,29732,584027926,29732,584028555,29732,573389306,29732,711458580
