"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29728,977101795,29728,982006028,29728,976824658,29729,42712905
2,29728,982391003,29729,4977799,29728,976824658,29729,42712905
3,29728,977078258,29729,42679869,29728,976824658,29729,42712905
4,29728,977102983,29729,17464184,29728,976824658,29729,42712905
5,29728,988315083,29729,34318479,29728,976824658,29729,42712905
6,29728,977093065,29728,982388698,29728,976824658,29729,42712905
