"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29731,89971883,29731,239941769,29731,89851264,29731,239950360
2,29731,90010925,29731,90011623,29731,89851264,29731,239950360
3,29731,89961476,29731,89962105,29731,89851264,29731,239950360
4,29731,89957425,29731,89958263,29731,89851264,29731,239950360
5,29731,92039025,29731,92040212,29731,89851264,29731,239950360
6,29731,89968111,29731,89969368,29731,89851264,29731,239950360
