"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29731,863251395,29732,11356195,29731,863128541,29732,11392514
2,29731,876031051,29731,876031610,29731,863128541,29732,11392514
3,29731,876025883,29731,876027070,29731,863128541,29732,11392514
4,29731,864040272,29731,864040830,29731,863128541,29732,11392514
5,29731,876025324,29731,876026442,29731,863128541,29732,11392514
6,29731,863256564,29731,863257192,29731,863128541,29732,11392514
