"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29727,743726306,29727,748642412,29727,740124015,29727,787080697
2,29727,764505845,29727,787044379,29727,740124015,29727,787080697
3,29727,740318248,29727,784925762,29727,740124015,29727,787080697
4,29727,740318877,29727,780681825,29727,740124015,29727,787080697
5,29727,740333684,29727,764501794,29727,740124015,29727,787080697
6,29727,740342065,29727,745641260,29727,740124015,29727,787080697
