"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29724,606070234,29724,651088425,29724,606007655,29724,651737476
2,29724,606090139,29724,651290201,29724,606007655,29724,651737476
3,29724,606070793,29724,651704230,29724,606007655,29724,651737476
4,29724,651094012,29724,651094641,29724,606007655,29724,651737476
5,29724,651104070,29724,651104698,29724,606007655,29724,651737476
