"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29728,654480938,29728,662553598,29728,654399641,29728,728861740
2,29728,668026073,29728,690578157,29728,654399641,29728,728861740
3,29728,657161581,29728,728829263,29728,654399641,29728,728861740
4,29728,654479122,29728,694859321,29728,654399641,29728,728861740
5,29728,667290417,29728,724203354,29728,654399641,29728,728861740
6,29728,668286657,29728,673582570,29728,654399641,29728,728861740
