"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29729,657574954,29729,690733391,29729,657498756,29729,692448315
2,29729,657575513,29729,692442029,29729,657498756,29729,692448315
3,29729,690735975,29729,690736603,29729,657498756,29729,692448315
4,29729,657582637,29729,691753447,29729,657498756,29729,692448315
5,29729,657594790,29729,692401450,29729,657498756,29729,692448315
6,29729,690743658,29729,690744216,29729,657498756,29729,692448315
