"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29723,687429842,29723,694804700,29723,687324030,29723,754765164
2,29723,687417619,29723,721726020,29723,687324030,29723,754765164
3,29723,687418387,29723,739896226,29723,687324030,29723,754765164
4,29723,720037566,29723,754755037,29723,687324030,29723,754765164
5,29723,688026091,29723,695655737,29723,687324030,29723,754765164
