"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29730,823406221,29730,966074095,29730,823311653,29730,966084153
2,29730,823377446,29730,823378493,29730,823311653,29730,966084153
3,29730,823381077,29730,823382684,29730,823311653,29730,966084153
4,29730,823379052,29730,823379750,29730,823311653,29730,966084153
5,29730,823376747,29730,823378004,29730,823311653,29730,966084153
6,29730,823384290,29730,823384989,29730,823311653,29730,966084153
