"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29722,680037200,29722,687409265,29722,641700816,29722,728991182
2,29722,641731128,29722,683794892,29722,641700816,29722,728991182
3,29722,676455793,29722,728956819,29722,641700816,29722,728991182
4,29722,641731687,29722,676451532,29722,641700816,29722,728991182
5,29722,652015295,29722,659659608,29722,641700816,29722,728991182
