"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,29728,221990044,29728,227952957,29728,215024465,29728,287047299
2,29728,223911494,29728,271206705,29728,215024465,29728,287047299
3,29728,215294408,29728,287013215,29728,215024465,29728,287047299
4,29728,215332403,29728,262979972,29728,215024465,29728,287047299
5,29728,215338130,29728,244545061,29728,215024465,29728,287047299
6,29728,215312009,29728,221986761,29728,215024465,29728,287047299
